suburb,0p,25p,50p,75p,100p,count
ABBOTSBURY,5000.0,165000.0,225000.0,260000.0,380000.0,33
ABBOTSFORD,32550.0,218000.0,300000.0,412850.0,1220000.0,71
ABERCROMBIE,50500.0,50500.0,50500.0,50500.0,50500.0,1
ABERDARE,1275.0,54500.0,68000.0,95400.0,167000.0,42
ABERDEEN,12500.0,28000.0,82000.0,122250.0,789000.0,43
ABERGLASSLYN,8000.0,46375.0,101500.0,157750.0,190000.0,16
ABERMAIN,12500.0,65625.0,77000.0,92625.0,455000.0,30
ABERNETHY,25000.0,52500.0,80000.0,90000.0,100000.0,3
ACACIA GARDENS,74100.0,101375.0,112250.0,196500.0,290000.0,76
ADAMINABY,16500.0,39500.0,74000.0,83571.75,98000.0,8
ADAMSTOWN,30480.0,105000.0,123000.0,139000.0,205000.0,103
ADAMSTOWN HEIGHTS,30000.0,127000.0,147000.0,177000.0,345000.0,77
ADELONG,8500.0,25000.0,50000.0,76000.0,120000.0,23
AGNES BANKS,905000.0,905000.0,905000.0,905000.0,905000.0,1
AGNES BANKS (RICHMOND),145000.0,161875.0,178750.0,195625.0,212500.0,2
AIRDS,46250.0,89250.0,91500.0,116625.0,150000.0,12
ALBION PARK,5978.0,62000.0,99000.0,139000.0,380855.0,297
ALBION PARK RAIL,30000.0,105500.0,125000.0,139500.0,258200.0,102
ALBURY,1000.0,69000.0,99500.0,133000.0,620000.0,537
ALEXANDRIA,30000.0,195000.0,239750.0,295875.0,11297000.0,130
ALFORDS POINT,110000.0,278000.0,326000.0,402000.0,530000.0,45
ALLAMBIE,230000.0,267750.0,315000.0,331500.0,447500.0,11
ALLAMBIE HEIGHTS,3200.0,265000.0,292500.0,322875.0,560000.0,88
ALLAWAH,60000.0,161750.0,179000.0,190625.0,2786000.0,48
ALSTONVILLE,18275.0,106250.0,137000.0,160750.0,510000.0,122
AMBARVALE,33500.0,102000.0,114000.0,129500.0,850000.0,99
ANGOURIE,80000.0,113000.0,150000.0,180000.0,355000.0,7
ANNA BAY,27000.0,57000.0,100000.0,150000.0,360000.0,145
ANNANDALE,30000.0,205125.0,260500.0,330625.0,7000000.0,244
APPIN,60000.0,77750.0,140000.0,178000.0,242000.0,29
ARAKOON,120000.0,125000.0,150000.0,190000.0,190000.0,5
ARCADIA VALE,2000.0,49000.0,87500.0,115000.0,211000.0,41
ARGENTON,59000.0,77000.0,90000.0,96500.0,117000.0,17
ARMIDALE,2500.0,84000.0,112500.0,147500.0,18600000.0,301
ARNCLIFFE,16000.0,160000.0,190000.0,231000.0,1150000.0,229
ARRAWARRA,2590.0,28692.5,54795.0,80897.5,107000.0,2
ARTARMON,10000.0,210000.0,245000.0,290000.0,1050000.0,389
ASHBURY,25000.0,215000.0,252500.0,289500.0,505000.0,50
ASHBY,37500.0,75375.0,96500.0,105750.0,108000.0,4
ASHCROFT,7700.0,98500.0,107087.5,116187.5,136000.0,38
ASHFIELD,20.0,140000.0,169000.0,230500.0,8750000.0,511
ASHFORD,7000.0,16750.0,20500.0,21000.0,21000.0,4
ASHLEY,13000.0,18000.0,23000.0,49000.0,120000.0,7
ASHMONT,22000.0,50000.0,77000.0,105000.0,620000.0,47
ASHTONFIELD,40000.0,52000.0,67500.0,152000.0,475000.0,72
ASQUITH,73333.0,205250.0,222500.0,245125.0,355000.0,54
AUBURN,12500.0,123444.0,159000.0,185000.0,18500000.0,483
AUBURN NORTH,115000.0,115000.0,115000.0,115000.0,115000.0,1
AUSTINMER,50000.0,177250.0,205000.0,236000.0,416000.0,47
AUSTRAL,117000.0,117000.0,117000.0,117000.0,117000.0,1
AVALON,12500.0,278000.0,327100.0,384000.0,1110000.0,152
AVALON BEACH,100000.0,195875.0,240000.0,337250.0,880000.0,54
AVOCA BEACH,45000.0,135000.0,180000.0,246000.0,1480000.0,149
AWABA,30000.0,65750.0,71500.0,107500.0,120000.0,10
BALACLAVA,222000.0,222000.0,222000.0,222000.0,222000.0,1
BALARANG,50000.0,125750.0,134250.0,154750.0,245000.0,10
BALCOLYN,36000.0,82250.0,116000.0,162500.0,320000.0,27
BALGOWLAH,10500.0,235000.0,315250.0,406250.0,1500000.0,240
BALGOWLAH HEIGHTS,12500.0,430000.0,511000.0,715000.0,1680000.0,61
BALGOWNIE,65000.0,155000.0,177000.0,220000.0,460000.0,125
BALLDALE,5000.0,10500.0,18000.0,23500.0,65000.0,5
BALLINA,40000.0,110000.0,140000.0,178000.0,2297085.0,258
BALMAIN,5000.0,270000.0,341250.0,434250.0,7575000.0,324
BALMAIN EAST,394000.0,394250.0,394500.0,394750.0,395000.0,2
BALMORAL,22000.0,231250.0,432500.0,996250.0,5400000.0,90
BALMORAL BEACH,200000.0,363750.0,421500.0,600000.0,1000000.0,8
BALMORAL(RATHMINES),86000.0,86000.0,86000.0,86000.0,86000.0,1
BANGALOW,24500.0,62250.0,125000.0,148750.0,250000.0,38
BANGOR,50000.0,230875.0,252500.0,292250.0,850000.0,62
BANKSIA,20000.0,175000.0,190000.0,204750.0,272000.0,25
BANKSTOWN,1500.0,143000.0,157000.0,185000.0,1550000.0,702
BANORA POINT,23000.0,79000.0,125000.0,150000.0,2547000.0,573
BAR BEACH,50000.0,123000.0,160000.0,262500.0,5050000.0,39
BARDEN RIDGE,110000.0,150000.0,263000.0,304250.0,412500.0,77
BARDWELL PARK,100000.0,238900.0,280000.0,308500.0,362000.0,27
BARGO,10300.0,50875.0,103500.0,127250.0,192800.0,60
BARNSLEY,10000.0,85750.0,98250.0,118500.0,310000.0,44
BARRA BRUI,345000.0,382500.0,415000.0,436750.0,442000.0,4
BARRACK HEIGHTS,12000.0,99000.0,130000.0,152500.0,249000.0,83
BARRACK POINT,138500.0,153000.0,170000.0,188000.0,220000.0,7
BARRINGTON,110000.0,110000.0,110000.0,110000.0,110000.0,1
BASIN VIEW,23000.0,36000.0,90000.0,119750.0,245000.0,46
BASS HILL,45000.0,157250.0,174500.0,194000.0,445000.0,114
BATEAU BAY,2000.0,121875.0,144245.0,177625.0,340000.0,288
BATEHAVEN,20000.0,86250.0,114500.0,138750.0,390000.0,54
BATEMANS BAY,15000.0,64000.0,95000.0,135000.0,1500000.0,105
BATHURST,7500.0,74000.0,107000.0,140000.0,8115000.0,485
BATLOW,7500.0,25000.0,55000.0,74500.0,245000.0,19
BAULKHAM HILLS,242.0,177000.0,209000.0,250000.0,3100000.0,703
BAWLEY POINT,87500.0,111250.0,135000.0,145000.0,155000.0,3
BAYLDON,10000.0,47000.0,102600.0,136500.0,364000.0,67
BAYVIEW,5000.0,340000.0,390000.0,447000.0,812500.0,45
BEACON HILL,50000.0,265000.0,285000.0,325000.0,879000.0,157
BEACONSFIELD,220000.0,220000.0,220000.0,220000.0,220000.0,1
BEACONSFIELD (ALEXANDRIA),190000.0,243000.0,296000.0,299000.0,302000.0,3
BEAUTY POINT,90000.0,500000.0,790000.0,907500.0,1870000.0,20
BEECROFT,27000.0,276000.0,322000.0,402500.0,840000.0,143
BEELBANGERA,72500.0,72500.0,72500.0,72500.0,72500.0,1
BEGA,2000.0,69250.0,90000.0,118000.0,225000.0,79
BELFIELD,24700.0,176625.0,205000.0,236000.0,366000.0,100
BELLA VISTA,155000.0,155000.0,155000.0,155000.0,155000.0,1
BELLAMBI,48667.0,103500.0,124000.0,145500.0,185000.0,39
BELLBIRD,20000.0,43750.0,70250.0,89250.0,157500.0,40
BELLBIRD HEIGHTS,4400.0,4400.0,4400.0,4400.0,4400.0,2
BELLEVUE HILL,25000.0,256125.0,415000.0,929750.0,19000000.0,280
BELLINGEN,10716.0,68000.0,105000.0,129000.0,260000.0,97
BELMONT,34000.0,100000.0,125000.0,167000.0,1405000.0,125
BELMONT NORTH,54000.0,92500.0,120000.0,134000.0,450000.0,91
BELMONT SOUTH,60000.0,93250.0,105000.0,116750.0,700000.0,12
BELMORE,2427.0,110375.0,168250.0,210825.0,725000.0,212
BELONGIE,116000.0,116000.0,116000.0,116000.0,116000.0,1
BELONGIL,30000.0,63250.0,115250.0,129750.0,200000.0,38
BELROSE,125000.0,305000.0,332500.0,380000.0,783000.0,145
BEMBOKA,3500.0,23750.0,37000.0,47250.0,55000.0,6
BEN LOMOND,8000.0,11000.0,14000.0,29500.0,45000.0,3
BENSVILLE,69000.0,96750.0,136500.0,163000.0,245000.0,34
BERALA,18000.0,121125.0,162750.0,190750.0,460000.0,102
BERARA,100000.0,100000.0,100000.0,100000.0,100000.0,1
BERESFIELD,5738.0,78000.0,85000.0,104250.0,670000.0,39
BERKELEY,5000.0,74625.0,97750.0,122450.0,466000.0,92
BERKELEY VALE,20000.0,105875.0,125000.0,145000.0,297500.0,206
BERMAGUI,12222.0,53500.0,89000.0,140000.0,477500.0,69
BEROWRA,68000.0,200000.0,223000.0,254250.0,390000.0,79
BEROWRA HEIGHTS,110000.0,195000.0,222500.0,244388.0,465000.0,81
BEROWRA WATERS,86700.0,142500.0,206000.0,270000.0,575000.0,19
BERRARA,26250.0,85000.0,120000.0,153500.0,425000.0,19
BERRIDALE,15500.0,30000.0,47500.0,72500.0,135000.0,19
BERRIMA,45000.0,70625.0,151250.0,241250.0,290000.0,6
BERRY,49595.0,130000.0,157750.0,201250.0,325000.0,44
BERRYS BAY,178200.0,179900.0,181600.0,183300.0,185000.0,2
BEVERLEY PARK,252500.0,267500.0,278250.0,289750.0,307000.0,4
BEVERLY HILLS,36000.0,168000.0,190888.0,245000.0,750000.0,277
BEVERLY PARK,250000.0,250000.0,250000.0,250000.0,250000.0,1
BEXHILL,65000.0,84000.0,103000.0,135750.0,168500.0,3
BEXLEY,19100.0,160000.0,205000.0,248500.0,3100000.0,396
BEXLEY NORTH,30000.0,237250.0,256000.0,286500.0,480000.0,31
BIBBENLUKE,4300.0,4300.0,4300.0,4300.0,4300.0,2
BIDWILL,69000.0,71575.0,77000.0,94062.5,98000.0,8
BILAMBIL,35000.0,110000.0,140000.0,153375.0,178500.0,4
BILAMBIL HEIGHTS,500.0,71000.0,95000.0,138125.0,225000.0,87
BILGOLA,310000.0,337500.0,345000.0,670000.0,740000.0,7
BILGOLA PLATEAU,175100.0,309000.0,347500.0,424000.0,600000.0,48
BILLINUDGEL,58000.0,58000.0,58000.0,58000.0,58000.0,1
BINIGUY,12500.0,18125.0,45000.0,72687.5,80750.0,4
BIRCHGROVE,105000.0,318250.0,387500.0,527500.0,1150000.0,24
BIRMINGHAM GARDENS,42500.0,86250.0,104000.0,114250.0,190000.0,34
BIRRONG,7800.0,153750.0,166000.0,184250.0,220000.0,28
BLACKALLS PARK,45000.0,84500.0,101550.0,121250.0,275000.0,72
BLACKBUTT,60000.0,112500.0,136550.0,193750.0,345000.0,70
BLACKETT,14300.0,71375.0,83250.0,95000.0,125000.0,46
BLACKHEATH,15000.0,75000.0,110000.0,134000.0,1015000.0,196
BLACKSMITHS,68000.0,115000.0,129250.0,148712.5,168000.0,30
BLACKTOWN,2750.0,100000.0,120000.0,140750.0,1050000.0,804
BLACKWALL,25000.0,105750.0,121000.0,141750.0,730000.0,40
BLAIR ATHOL,75000.0,76000.0,77500.0,78500.0,87500.0,5
BLAIRMOUNT,97500.0,153000.0,160000.0,177000.0,193000.0,5
BLAKEHURST,6000.0,232750.0,326000.0,462500.0,1275000.0,150
BLAXLAND,193.0,135500.0,158375.0,189125.0,600000.0,138
BLIGH PARK,25000.0,104000.0,123000.0,145375.0,280000.0,152
BLUE BAY,60000.0,147750.0,187000.0,268000.0,950000.0,38
BLUE HAVEN,7300.0,47125.0,62210.0,134700.0,250000.0,246
BLUES POINT,775000.0,783000.0,791000.0,895500.0,1000000.0,3
BOAMBEE,9950.0,55000.0,110000.0,135000.0,212000.0,106
BOAT HARBOUR,31650.0,52500.0,61500.0,115000.0,232500.0,29
BODALLA,80000.0,87500.0,97500.0,159250.0,322000.0,4
BOGANGAR,32000.0,63250.0,117000.0,140000.0,452000.0,143
BOGGABILLA,2500.0,17000.0,28000.0,42500.0,75000.0,9
